,Precio,Precio,Precio,Precio,Precio,Area,Area,Num. dormitorios,Num. dormitorios,Num. banos,Num. banos
,mean,median,min,max,count,mean,median,mean,median,mean,median
tipo_propiedad,,,,,,,,,,,
Bodega,1534.27,1000.0,270,4500,15,481.33,324.0,2.8,3.0,2.0,2.0
Casa,1146.18,600.0,350,6000,55,239.71,150.0,3.42,3.0,2.95,3.0
Departamento,560.85,500.0,100,3000,210,126.92,105.0,2.6,3.0,2.24,2.0
Local Comercial,914.12,600.0,120,8000,51,118.96,90.0,2.96,3.0,1.92,2.0
Oficina,516.37,452.0,120,2000,51,74.25,58.0,2.96,3.0,1.69,2.0
Otro,1648.72,700.0,115,9000,47,407.0,100.0,2.68,3.0,2.17,2.0
Suite,518.31,500.0,165,1700,59,65.12,68.0,1.05,1.0,1.36,1.0
Terreno,2666.17,1350.0,9,7000,12,17519.0,100.0,3.42,3.0,2.58,2.0
